Flight Number,Type,Origin,Destination,Departure Time,Estimated Arrival Time
DAL2741,B739,Hartsfield-Jackson Intl (KATL),Greenville/Spartanburg Intl (KGSP),Wed 10:29PM EST,Wed 10:56PM EST
DAL2749,B739,Hartsfield-Jackson Intl (KATL),Birmingham-Shuttlesworth Intl (KBHM),Wed 10:29PM EST,Wed 09:57PM CST
DAL2771,B712,Hartsfield-Jackson Intl (KATL),James M Cox Dayton Intl (KDAY),Wed 10:01PM EST,Wed 11:02PM EST
DAL2819,B712,Hartsfield-Jackson Intl (KATL),Charlotte/Douglas Intl (KCLT),Wed 10:24PM EST,Wed 10:59PM EST
DAL2839,A319,Detroit Metro Wayne Co (KDTW),Raleigh-Durham Intl (KRDU),Wed 09:30PM EST,Wed 10:39PM EST
DAL2845,A319,Minneapolis/St Paul Intl (KMSP),Bradley Intl (KBDL),Wed 08:06PM CST,Wed 11:03PM EST
DAL2860,B752,Hartsfield-Jackson Intl (KATL),Savannah/Hilton Head Intl (KSAV),Wed 10:34PM EST,Wed 11:07PM EST
DAL2861,B739,Hartsfield-Jackson Intl (KATL),John Glenn Columbus Intl Airport (KCMH),Wed 10:30PM EST,Wed 11:37PM EST
DAL2865,A321,Hartsfield-Jackson Intl (KATL),Gerald R Ford Intl (KGRR),Wed 09:56PM EST,Wed 11:19PM EST
DAL2877,B739,Minneapolis/St Paul Intl (KMSP),Philadelphia Intl (KPHL),Wed 08:44PM CST,Wed 11:41PM EST
DAL2915,A321,Minneapolis/St Paul Intl (KMSP),Bozeman Yellowstone Intl (KBZN),Wed 09:34PM CST,Wed 10:34PM MST
DAL2929,A319,Spokane Intl (KGEG),Salt Lake City Intl (KSLC),Wed 07:34PM PST,Wed 09:47PM MST
DAL2932,B753,Minneapolis/St Paul Intl (KMSP),Hartsfield-Jackson Intl (KATL),Wed 08:14PM CST,Wed 11:25PM EST
DAL2940,A321,Hartsfield-Jackson Intl (KATL),Detroit Metro Wayne Co (KDTW),Wed 10:14PM EST,Wed 11:37PM EST
DAL2943,B739,Portland Intl (KPDX),Salt Lake City Intl (KSLC),Wed 07:32PM PST,Wed 09:52PM MST
DAL2947,A321,Phoenix Sky Harbor Intl (KPHX),Minneapolis/St Paul Intl (KMSP),Wed 07:51PM MST,Wed 11:25PM CST
DAL295,A359,Hartsfield-Jackson Intl (KATL),Tokyo Int'l (Haneda) (HND / RJTT),Wed 10:16AM EST,Thu 01:57PM JST
DAL2958,B712,Hartsfield-Jackson Intl (KATL),Eppley Airfield (KOMA),Wed 10:23PM EST,Wed 11:14PM CST
DAL2965,BCS3,Sacramento Intl (KSMF),Seattle-Tacoma Intl (KSEA),Wed 06:26PM PST,Wed 07:57PM PST
DAL2970,A321,Hartsfield-Jackson Intl (KATL),Milwaukee Mitchell Intl Airport (KMKE),Wed 10:25PM EST,Wed 10:54PM CST
DAL2976,A319,Denver Intl (KDEN),Los Angeles Intl (KLAX),Wed 07:45PM MST,Wed 08:39PM PST
DAL2978,A320,Minneapolis/St Paul Intl (KMSP),Calgary Int'l (CYYC),Wed 08:20PM CST,Wed 09:41PM MST
DAL2989,A321,Detroit Metro Wayne Co (KDTW),Bradley Intl (KBDL),Wed 10:16PM EST,Wed 11:24PM EST
DAL3,B764,John F Kennedy Intl (KJFK),London Heathrow (LHR / EGLL),Wed 10:19PM EST,Thu 09:47AM GMT
DAL30,B764,Hartsfield-Jackson Intl (KATL),London Heathrow (LHR / EGLL),Wed 06:23PM EST,Thu 06:55AM GMT
DAL300,B763,Salt Lake City Intl (KSLC),Kahului (OGG / PHOG),Wed 03:45PM MST,Wed 06:46PM HST
DAL305,B764,Daniel K Inouye Intl (PHNL),John F Kennedy Intl (KJFK),Wed 05:04PM HST,Thu 07:26AM EST
DAL309,BCS3,Washington Dulles Intl (KIAD),Seattle-Tacoma Intl (KSEA),Wed 05:37PM EST,Wed 07:52PM PST
DAL311,B763,Los Angeles Intl (KLAX),Ellison Onizuka Kona Intl At Keahole (KOA / PHKO),Wed 05:50PM PST,Wed 08:50PM HST
DAL32,B764,Hartsfield-Jackson Intl (KATL),London Heathrow (LHR / EGLL),Wed 10:17PM EST,Thu 10:47AM GMT
DAL321,B739,John F Kennedy Intl (KJFK),Harry Reid Intl (KLAS),Wed 05:47PM EST,Wed 07:52PM PST
DAL323,B752,John F Kennedy Intl (KJFK),San Francisco Int'l (KSFO),Wed 09:47PM EST,Thu 12:28AM PST
DAL333,BCS1,Dallas-Fort Worth Intl (KDFW),LaGuardia (KLGA),Wed 08:12PM CST,Wed 11:50PM EST
DAL339,A321,Hartsfield-Jackson Intl (KATL),Phoenix Sky Harbor Intl (KPHX),Wed 06:49PM EST,Wed 08:41PM MST
DAL353,B763,Los Angeles Intl (KLAX),John F Kennedy Intl (KJFK),Wed 04:51PM PST,Thu 12:27AM EST
DAL355,B763,Kahului (OGG / PHOG),Los Angeles Intl (KLAX),Wed 01:54PM HST,Wed 08:30PM PST
DAL357,B739,John F Kennedy Intl (KJFK),Seattle-Tacoma Intl (KSEA),Wed 07:14PM EST,Wed 09:48PM PST
DAL358,B739,Detroit Metro Wayne Co (KDTW),San Francisco Int'l (KSFO),Wed 08:51PM EST,Wed 10:22PM PST
DAL36,A333,Orlando Intl (KMCO),Amsterdam Schiphol (AMS / EHAM),Wed 07:44PM EST,Thu 10:02AM CET
DAL366,A21N,Boston Logan Intl (KBOS),San Diego Intl (KSAN),Wed 04:41PM EST,Wed 07:37PM PST
DAL374,B763,Los Angeles Intl (KLAX),John F Kennedy Intl (KJFK),Wed 03:00PM PST,Wed 10:38PM EST
DAL377,B739,Hartsfield-Jackson Intl (KATL),Muhammad Ali Intl (KSDF),Wed 10:23PM EST,Wed 11:15PM EST
DAL380,B752,Reagan National (KDCA),Los Angeles Intl (KLAX),Wed 05:54PM EST,Wed 08:04PM PST
DAL381,B739,Salt Lake City Intl (KSLC),John F Kennedy Intl (KJFK),Wed 05:48PM MST,Wed 11:25PM EST
DAL386,B739,Seattle-Tacoma Intl (KSEA),John F Kennedy Intl (KJFK),Wed 03:53PM PST,Wed 11:17PM EST
DAL388,B739,Boston Logan Intl (KBOS),Phoenix Sky Harbor Intl (KPHX),Wed 06:51PM EST,Wed 10:14PM MST
DAL40,A359,Sydney (SYD / YSSY),Los Angeles Intl (KLAX),Thu 11:33AM AEDT,Thu 05:05AM PST
DAL412,A321,Detroit Metro Wayne Co (KDTW),Harry Reid Intl (KLAS),Wed 08:48PM EST,Wed 09:40PM PST
