Flight Number,Origin,Destination,Departure Time,Estimated Arrival Time
220,SLC,CDG,Wed 02:16PM MST,Thu 07:11AM CET
2209,BOS,CVG,Wed 08:34PM EST,Wed 10:44PM EST
2211,LGA,SYR,Wed 10:14PM EST,Wed 10:52PM EST
2213,ATL,LEX,Wed 10:04PM EST,Wed 10:50PM EST
2222,ATL,PNS,Wed 10:12PM EST,Wed 09:57PM CST
2240,DTW,RIC,Wed 09:37PM EST,Wed 10:40PM EST
226,GRU,JFK,Wed 09:37PM -03,Thu 05:05AM EST
227,JFK,GRU,Wed 09:58PM EST,Thu 09:02AM -03
2275,ATL,AVL,Wed 10:19PM EST,Wed 10:50PM EST
2280,MSP,DCA,Wed 08:34PM CST,Wed 11:29PM EST
2290,FLL,BOS,Wed 08:43PM EST,Wed 11:18PM EST
2293,DTW,LGA,Wed 09:57PM EST,Wed 11:03PM EST
230,RDU,CDG,Wed 07:58PM EST,Thu 09:21AM CET
2306,ATL,DSM,Wed 10:17PM EST,Wed 10:59PM CST
2307,ATL,GSO,Wed 09:56PM EST,Wed 10:39PM EST
232,MSP,CDG,Wed 07:14PM CST,Thu 09:30AM CET
2321,ATL,ELP,Wed 08:05PM EST,Wed 09:03PM MST
2323,MSP,PDX,Wed 06:25PM CST,Wed 07:37PM PST
2338,ATL,ORF,Wed 10:34PM EST,Wed 11:40PM EST
235,TLV,JFK,Thu 12:20AM IST,Thu 05:16AM EST
2352,DTW,CLT,Wed 09:43PM EST,Wed 10:59PM EST
2372,SJC,SLC,Wed 07:10PM PST,Wed 09:39PM MST
2377,ATL,MDW,Wed 09:54PM EST,Wed 10:14PM CST
238,ATL,JNB,Wed 06:15PM EST,Thu 04:02PM SAST
2388,LAS,SEA,Wed 06:52PM PST,Wed 09:00PM PST
239,CPT,ATL,Thu 12:08AM SAST,Thu 08:11AM EST
2402,DTW,PHL,Wed 10:05PM EST,Wed 11:13PM EST
2419,SEA,ONT,Wed 07:32PM PST,Wed 09:25PM PST
2423,ATL,OKC,Wed 09:50PM EST,Wed 10:34PM CST
2428,SAN,SEA,Wed 07:33PM PST,Wed 10:04PM PST
2459,PDX,LAX,Wed 07:33PM PST,Wed 09:23PM PST
2466,BOS,ROC,Wed 10:28PM EST,Wed 11:31PM EST
2474,ATL,STL,Wed 10:26PM EST,Wed 10:42PM CST
2475,LGA,RSW,Wed 08:16PM EST,Wed 10:52PM EST
2488,LGA,ATL,Wed 09:39PM EST,Wed 11:31PM EST
2495,JFK,MIA,Wed 08:56PM EST,Wed 11:17PM EST
2537,BOS,RDU,Wed 09:29PM EST,Wed 10:57PM EST
2539,ATL,SAT,Wed 10:16PM EST,Wed 11:34PM CST
2540,ATL,FSD,Wed 10:11PM EST,Wed 11:14PM CST
258,BOS,AMS,Wed 07:19PM EST,Thu 07:34AM CET
2580,DTW,DCA,Wed 09:56PM EST,Wed 10:57PM EST
2603,ATL,PIT,Wed 10:28PM EST,Wed 11:42PM EST
2608,MSP,TPA,Wed 08:09PM CST,Thu 12:03AM EST
262,JFK,CDG,Wed 08:06PM EST,Thu 08:29AM CET
2626,ATL,CID,Wed 09:05PM EST,Wed 09:38PM CST
2640,ATL,YYZ,Wed 09:49PM EST,Wed 11:24PM EST
2642,ATL,PHL,Wed 10:10PM EST,Wed 11:39PM EST
2655,ATL,BNA,Wed 10:00PM EST,Wed 09:37PM CST
2666,SAN,SLC,Wed 07:21PM PST,Wed 10:06PM MST
2686,MSP,BWI,Wed 08:23PM CST,Wed 11:17PM EST
269,ATL,GRU,Wed 09:47PM EST,Thu 08:41AM -03
2715,DTW,BWI,Wed 10:33PM EST,Wed 11:29PM EST
2717,DTW,BUF,Wed 10:07PM EST,Wed 10:44PM EST
272,JFK,LIS,Wed 09:37PM EST,Thu 09:00AM WET
2741,ATL,GSP,Wed 10:29PM EST,Wed 10:56PM EST
2749,ATL,BHM,Wed 10:29PM EST,Wed 09:57PM CST
2771,ATL,DAY,Wed 10:01PM EST,Wed 11:02PM EST
